artist,genre,country
D PROJECT,Neo-Prog,Canada
D SOUND,Psychedelic/Space Rock,Hungary
D'ACCORD,Heavy Prog,Norway
D'ARCANA,Psychedelic/Space Rock,United States
GIN 'ELISO,Rock Progressivo Italiano,Italy
GIANN 'ERRICO,Rock Progressivo Italiano,Italy
RUBE 'HERS,RIO/Avant-Prog,Venezuela
LARE 'OR,Crossover Prog,Hungary
NIC 'VIRGILIO,Crossover Prog,United States
D.F.A.,Jazz Rock/Fusion,Italy
D.U.N.E.,Experimental/Post Metal,Italy
DA CAPO,Krautrock,Germany
DA CAPTAIN TRIPS,Psychedelic/Space Rock,Italy
DAAL,Eclectic Prog,Italy
DAATH,Tech/Extreme Prog Metal,United States
DAEDALUS,Progressive Metal,Italy
TH AEDALUS SPIRIT ORCHESTRA,Eclectic Prog,France
DAEMONIA,Crossover Prog,Italy
DAEMONIA NYMPHE,Prog Folk,Greece
DAGMÄHR,Eclectic Prog,Canada
DAGTUM,Tech/Extreme Prog Metal,Philippines
DAH,Heavy Prog,Yugoslavia
DAI KAHT,Zeuhl,Finland
DAIMON ORCHESTRA,RIO/Avant-Prog,Japan
DAIMONJI,Zeuhl,Japan
DAKRYA,Experimental/Post Metal,Greece
DALI'S DILEMMA,Progressive Metal,United States
DALIBOROVO GRANJE,Psychedelic/Space Rock,Croatia
DALLAGLIO,Rock Progressivo Italiano,Italy
PATRICI ALLIO,RIO/Avant-Prog,France
DALTON,Rock Progressivo Italiano,Italy
DALTONIA,Eclectic Prog,Chile
DAMANEK,Crossover Prog,United Kingdom
DAMASCUS,Experimental/Post Metal,United States
TH AME,Neo-Prog,Netherlands
DAMENBART,Krautrock,Germany
DAMN THE MACHINE,Progressive Metal,United States
TH AMNATION PROJECT,Progressive Metal,Greece
DÁNAE,Heavy Prog,Argentina
DANCER,Prog Folk,United Kingdom
DANEFAE,Crossover Prog,Denmark
DANISCO (FOR BEAUTY),RIO/Avant-Prog,France
DANTE,Progressive Metal,Germany
DAPHNE,Crossover Prog,Italy
DARA,Post Rock/Math rock,Romania
DAREDIABLO,Heavy Prog,United States
DARIUS,Neo-Prog,Germany
DARK,Jazz Rock/Fusion,Multi-National
DARK,Heavy Prog,United Kingdom
DARK AETHER PROJECT,Eclectic Prog,United States
DARK AGES,Progressive Metal,Italy
DARK BUDDHA RISING,Psychedelic/Space Rock,Finland
DARK CASTLE,Experimental/Post Metal,United States
DARK HERESEY,Tech/Extreme Prog Metal,United Kingdom
DARK LIGHT,Crossover Prog,India
TH ARK MATTERS,Progressive Metal,United States
DARK MILLENNIUM,Tech/Extreme Prog Metal,Germany
DARK NOVA,Progressive Metal,Greece
DARK SUN,Psychedelic/Space Rock,Finland
DARK SUNS,Experimental/Post Metal,Germany
TH ARK THIRD,Post Rock/Math rock,New Zealand
DARKESTRAH,Experimental/Post Metal,Germany
DARKHER,Experimental/Post Metal,United Kingdom
DARKSPACE,Experimental/Post Metal,Switzerland
DARKSTAR,Progressive Metal,Germany
DARKWATER,Progressive Metal,Sweden
DARNAKES,Prog Folk,Greece
DARRIFOURCQ HERMIA CECCALDI,RIO/Avant-Prog,Various
DARSOMBRA,Krautrock,United States
ALE ARSON,Progressive Metal,Serbia
MARTI ARVILL & FRIENDS,Prog Related,United Kingdom
DARWIN,Crossover Prog,United Kingdom
DARWIN'S RADIO,Neo-Prog,United Kingdom
DARXTAR,Psychedelic/Space Rock,Sweden
DAS RAD,RIO/Avant-Prog,United Kingdom
DASPUTNIK,Psychedelic/Space Rock,Finland
DATASHOCK,Krautrock,Germany
DATE COURSE PENTAGON ROYAL GARDEN ,RIO/Avant-Prog,Japan
DATETENRYU,Psychedelic/Space Rock,Japan
DATURA,Neo-Prog,France
DATURAH,Post Rock/Math rock,Germany
DAUDANE,Psychedelic/Space Rock,France
DAUGHTERS OF FISSION,Experimental/Post Metal,United States
DAVENPORT,Krautrock,United States
ALA AVEY,Psychedelic/Space Rock,United Kingdom
DAVID AND THE THEATRE OF TWILIGHT,Neo-Prog,Germany
DAVID'S LODGERS,Crossover Prog,Italy
MILE AVIS,Jazz Rock/Fusion,United States
BRIA AVISON'S EVERY WHICH WAY,Prog Related,United Kingdom
DAWN,Symphonic Prog,Switzerland
DAWNWIND,Prog Folk,United Kingdom
RICHAR AWSON,Prog Folk,United Kingdom
DAY FOR AIRSTRIKES,Post Rock/Math rock,United Kingdom
DAY OF DEPARTURE,Post Rock/Math rock,United States
DAY OF PHOENIX,Psychedelic/Space Rock,Denmark
DAY SHIFT,Psychedelic/Space Rock,United Kingdom
DAY SIX,Progressive Metal,Netherlands
DAY WITHOUT DAWN,Experimental/Post Metal,United States
DAYCAST,Post Rock/Math rock,United States
DAYMOON,Crossover Prog,Portugal
DAYS BEFORE TOMORROW,Neo-Prog,United States
DAYS BETWEEN STATIONS,Eclectic Prog,United States
DAYS OF ASHES,Progressive Metal,Sweden
DCODED,Heavy Prog,Spain
DDNZ,Crossover Prog,Serbia
FABRIZI E ANDRÉ,Prog Related,Italy
MARC E ANGELIS,Crossover Prog,Italy
KOE E BRUYNE,Jazz Rock/Fusion,Belgium
DE CRONOPIOS,Psychedelic/Space Rock,Argentina
DE DE LIND,Rock Progressivo Italiano,Italy
DE GLADAS KAPELL,Jazz Rock/Fusion,Sweden
GUILLAUM E LA PILIERE,Eclectic Prog,France
DE LORIANS,Canterbury Scene,Japan
LOUI E MIEULLE,Jazz Rock/Fusion,France
DE OMEGA,Experimental/Post Metal,United States
DE PROFUNDIS,Tech/Extreme Prog Metal,United Kingdom
DEAD CAN DANCE,Prog Folk,Australia
DEAD EMPIRES,Tech/Extreme Prog Metal,United States
DEAD END SPACE,Heavy Prog,United States
DEAD HEROES CLUB,Neo-Prog,Ireland
TH EAD KENNY G'S,Jazz Rock/Fusion,United States
DEAD LETTER CIRCUS,Neo-Prog,Australia
DEAD LETTER OPENER,Tech/Extreme Prog Metal,Australia
DEAD MAN TELLS,Psychedelic/Space Rock,Russia
DEAD MEADOW,Psychedelic/Space Rock,United States
DEAD SEA APES,Psychedelic/Space Rock,United Kingdom
TH EAD SEA,Post Rock/Math rock,Australia
DEAD SPACE CHAMBER MUSIC,Prog Folk,United Kingdom
DEAD VOICES ON AIR,Progressive Electronic,United Kingdom
DEADBIRD,Experimental/Post Metal,United States
DEADBURGER,RIO/Avant-Prog,Italy
DEADFILE,Post Rock/Math rock,Greece
DEADHORSE,Post Rock/Math rock,United States
DEADLY ORGONE RADIATION,RIO/Avant-Prog,Various
DEADSOUL TRIBE,Experimental/Post Metal,United States
TH EADSTATION.,Progressive Metal,United States
DEADWOOD FOREST,Crossover Prog,United States
DEAF,Krautrock,Switzerland
DEAF SCENE,Psychedelic/Space Rock,United States
DEAFENING OPERA,Heavy Prog,Germany
DEAFHEAVEN,Experimental/Post Metal,United States
DEAMBRA,Crossover Prog,United States
DEAR APOLLO,Progressive Metal,United States
TH EAR HUNTER,Crossover Prog,United States
DEAR MR. TIME,Crossover Prog,United Kingdom
TH EATH COBRA,Heavy Prog,Australia
DEATH MACHINE,Tech/Extreme Prog Metal,United States
TH EATH OF HER MONEY,Experimental/Post Metal,United Kingdom
DEATH OF THE AUTHOR,Progressive Metal,United States
DEATH ORGAN,Progressive Metal,Sweden
DEATHCOUNT IN SILICONE VALLEY,Progressive Electronic,United Kingdom
DEATHROW,Tech/Extreme Prog Metal,Germany
DEATHSPELL OMEGA,Tech/Extreme Prog Metal,France
DEATON LEMAY PROJECT,Neo-Prog,United States
DEBILE MENTHOL,RIO/Avant-Prog,Switzerland
DEBOCO,Eclectic Prog,France
DEBRIS OF TITAN,Psychedelic/Space Rock,United States
DECADENCE,Progressive Metal,Russia
DECAMERON,Prog Folk,United Kingdom
CHRISTIA ÉCAMPS,Prog Related,France
FRANCI ÉCAMPS,Crossover Prog,France
TH ECAYES,Krautrock,United States
TH ECEMBERISTS,Prog Folk,United States
DECIBEL,RIO/Avant-Prog,Mexico
DECLINE OF THE I,Experimental/Post Metal,France
DECORTICA,Experimental/Post Metal,New Zealand
DEDALUS,Jazz Rock/Fusion,Italy
DEEEXPUS,Heavy Prog,United Kingdom
DEELY,Progressive Metal,Poland
DEEMTEE,Tech/Extreme Prog Metal,Spain
DEEP FEELING,Crossover Prog,United Kingdom
DEEP IN THOUGHT,Experimental/Post Metal,Germany
DEEP LIMBIC SYSTEM,Crossover Prog,Mexico
DEEP PURPLE,Proto-Prog,United Kingdom
DEEP SPACE DESTRUCTORS,Psychedelic/Space Rock,Finland
DEEP SWEDEN,RIO/Avant-Prog,Czech Republic
DEEP THOUGHT,Neo-Prog,Switzerland
DEERHOOF,Crossover Prog,United States
DEFORMICA,Heavy Prog,Argentina
DEFUNKT,Jazz Rock/Fusion,United States
DEFYING,Experimental/Post Metal,Poland
DEGEN HERB MROSZCZOK SCHLEICHER,Crossover Prog,Germany
DEGREE ABSOLUTE,Progressive Metal,United States
DEIGEN,Psychedelic/Space Rock,Japan
DEIMOS,Progressive Metal,Russia
DEJA VU,Krautrock,Germany
DEJA-VU,Symphonic Prog,Japan
DÉJŔ-VU,Heavy Prog,Norway
JAC EJOHNETTE,Jazz Rock/Fusion,United States
DEL REY,Post Rock/Math rock,United States
ERI ELAUNAY,Eclectic Prog,France
DELIRIO SONORO,Crossover Prog,Italy
DELIRIUM,Crossover Prog,Mexico
DELIRIUM,Rock Progressivo Italiano,Italy
DELIVERY,Canterbury Scene,United Kingdom
DELLA TERRA / EX AEGIS INTEGER,Heavy Prog,United States
DELTA,Progressive Metal,Chile
DELTA CEPHEID,Tech/Extreme Prog Metal,Germany
DELTA CYPHEI PROJECT,Neo-Prog,Germany
DELTA RED,Heavy Prog,Mexico
DELTA SLEEP,Crossover Prog,United Kingdom
DELUGE GRANDER,Symphonic Prog,United States
TH ELUGE,Jazz Rock/Fusion,United States
DELUSION SQUARED,Crossover Prog,France
DELVING,Psychedelic/Space Rock,Germany
DELVOID,Heavy Prog,Norway
STEVE EMARTINI,Progressive Metal,United States
DEMI SEMI QUAVER,RIO/Avant-Prog,Japan
DEMI-HEURE,Prog Folk,Canada
DEMIAN CLAV,Crossover Prog,France
DEMIANS,Heavy Prog,France
DEMILICH,Tech/Extreme Prog Metal,Finland
DEMIMONDE,Tech/Extreme Prog Metal,Czech Republic
DEMON FUZZ,Jazz Rock/Fusion,South Africa
DEMONIC RESURRECTION,Tech/Extreme Prog Metal,India
DEN DER HALE,Psychedelic/Space Rock,Sweden
DEN ZA DEN,Jazz Rock/Fusion,Yugoslavia
DENDURA,Progressive Metal,United States
JO ENINZON,Crossover Prog,United States
DANIE ENIS,RIO/Avant-Prog,Belgium
DENNIS,Jazz Rock/Fusion,Germany
DÉPARTE,Tech/Extreme Prog Metal,Australia
DEPARTMENT OF REVENGE,Eclectic Prog,United States
DEPOSED KING,Eclectic Prog,Hungary
DEPTH BEYOND ONE'S,Progressive Metal,Finland
DER NEUE PLANET,Psychedelic/Space Rock,Germany
DEREV,Progressive Metal,Canada
DESATANUDOS,Jazz Rock/Fusion,Argentina
JEAN-MICHE ESBOUIS,Progressive Electronic,France
DESCEND,Tech/Extreme Prog Metal,Sweden
DESERTION TRIO,RIO/Avant-Prog,United States
DESERTSHORE,Post Rock/Math rock,United States
L ESOOORDEN,Jazz Rock/Fusion,Chile
DESPITE BEHAVIOR,Progressive Metal,France
DESTRAGE,Tech/Extreme Prog Metal,Italy
DESTROY ALL PLANETS,Crossover Prog,United States
DETAILS AT ELEVEN,RIO/Avant-Prog,United States
DETEKTIVBYRĹN,Prog Folk,Sweden
DETERIOR,Experimental/Post Metal,United States
DETIETI,RIO/Avant-Prog,Russia
DETWIIJE,Post Rock/Math rock,United Kingdom
DAMJA EURIC,Eclectic Prog,Serbia
DEUS,Prog Related,Belgium
DEUS EX MACHINA,Jazz Rock/Fusion,Italy
DEUS NUVEM,RIO/Avant-Prog,Brazil
DEUTER,Krautrock,Germany
DEUTSCHE WERTARBEIT,Progressive Electronic,Germany
DEVENTTER,Progressive Metal,Brazil
DEVIL DOLL,Heavy Prog,Multi-National
DEVIL SOLD HIS SOUL,Experimental/Post Metal,United Kingdom
EVIL'S DIN,Crossover Prog,Canada
DEVIL'S SLINGSHOT,Progressive Metal,United States
TH EVIL'S STAIRCASE,Eclectic Prog,Multi-National
DEVIUS,Tech/Extreme Prog Metal,Argentina
DEXTRO,Post Rock/Math rock,United Kingdom
DEYSS,Neo-Prog,Switzerland
DGM,Progressive Metal,Italy
DHIDALAH,Psychedelic/Space Rock,Japan
DHVANI,Psychedelic/Space Rock,Italy
A I MEOLA - MCLAUGHLIN - PACO DE LUCIA,Jazz Rock/Fusion,Multi-National
A I MEOLA,Jazz Rock/Fusion,United States
MAURIZI I TOLLO,Rock Progressivo Italiano,Italy
DIABLO SWING ORCHESTRA,Progressive Metal,Sweden
E IABLO,Psychedelic/Space Rock,Mexico
DIABOLICAL MASQUERADE,Tech/Extreme Prog Metal,Sweden
DIABOLOS IN MUSICA,Progressive Metal,Norway
DIABOLUS,Prog Related,United Kingdom
DIAGONAL,Eclectic Prog,United Kingdom
DIAL,Neo-Prog,Netherlands
DIALECTS,Post Rock/Math rock,United Kingdom
DIALETO,Heavy Prog,Brazil
DIALOGUE (DAWN DIALOGUE),Symphonic Prog,Ukraine
DIANOGAH,Post Rock/Math rock,United States
DIANOYA,Progressive Metal,Poland
DIAPASĂO,Symphonic Prog,Brazil
DIAPASYN,Heavy Prog,United States
DIATESSARON,Crossover Prog,Canada
DICE,Eclectic Prog,Sweden
DICE,Crossover Prog,Germany
DICK HUDSON,Post Rock/Math rock,Italy
NICOLA ICK,Progressive Electronic,France
DID,Neo-Prog,France
DIDIER,Jazz Rock/Fusion,Germany
DIEGO DE MORON,Prog Folk,Spain
DIER,RIO/Avant-Prog,Netherlands
DIES GOA UNIT,Jazz Rock/Fusion,Monaco
DIES IRAE,Krautrock,Germany
DIESTO,Experimental/Post Metal,United States
DIETRICH,Post Rock/Math rock,Argentina
TH IFFERENCE,Crossover Prog,Slovakia
DIFFERENCES,Neo-Prog,Netherlands
DIFFERENT LIGHT,Crossover Prog,Czech Republic
DIFFERENT STRINGS,Neo-Prog,Malta
DIFICIL EQUILIBRIO,Heavy Prog,Spain
DIGITAL CHEMISTRY,Crossover Prog,United States
DIGITAL RUIN,Progressive Metal,United States
DIGRESSION ASSASSINS,Experimental/Post Metal,Sweden
IK DIK,Rock Progressivo Italiano,Italy
DILEMMA,Heavy Prog,Netherlands
DILLINGER,Heavy Prog,Canada
TH ILLINGER ESCAPE PLAN,Tech/Extreme Prog Metal,United States
DILUTE,Post Rock/Math rock,United States
DIMENSION,Progressive Metal,Mexico
DIMENSION ACT,Progressive Metal,Norway
DIMENSION ELEVEN,Progressive Metal,Poland
DIMENSION X,Progressive Metal,United States
DIMENSION34,Progressive Metal,Sweden
DIMESLAND,Tech/Extreme Prog Metal,United States
DIMHAV,Progressive Metal,Sweden
DIMLAIA,Experimental/Post Metal,United States
DIN A TESTBILD,Progressive Electronic,Germany
DIN WITHIN,Crossover Prog,United States
THOMA INGER,Krautrock,Germany
DIONAEA,Tech/Extreme Prog Metal,United States
DIONNE - BRÉGENT,Progressive Electronic,Canada
DIONYSOS,Eclectic Prog,Canada
DIORAMIC,Tech/Extreme Prog Metal,Germany
DIR EN GREY,Prog Related,Japan
DIRECT DIVIDE,Crossover Prog,United States
DIRECTION,Neo-Prog,Canada
DIRECTION SURVET,RIO/Avant-Prog,France
DIREWOLF,Tech/Extreme Prog Metal,United States
DIRGE,Experimental/Post Metal,France
DIRTY PROJECTORS,Crossover Prog,United States
DIRTY THREE,Post Rock/Math rock,Australia
DISAPPEARER,Experimental/Post Metal,United States
DISCIPLINE,Symphonic Prog,United States
DISCO INFERNO,Post Rock/Math rock,United Kingdom
DISCONNECT,Crossover Prog,United States
DISCORDIA,Eclectic Prog,Finland
DISCORDIAN SOCIETY,Jazz Rock/Fusion,United States
DISCUS,RIO/Avant-Prog,Indonesia
DISEMBARKATION,Tech/Extreme Prog Metal,Canada
DISEN GAGE,Eclectic Prog,Russia
DISEQUAZIONE,Rock Progressivo Italiano,Italy
DISFIGURING REALITY,Tech/Extreme Prog Metal,Canada
DISHARMONIC ORCHESTRA,Tech/Extreme Prog Metal,Austria
DISILLUSION,Tech/Extreme Prog Metal,Germany
DISKORD,Tech/Extreme Prog Metal,Norway
DISMAL,Progressive Metal,Italy
DISPERSE,Progressive Metal,Poland
TH ISPLAY TEAM,RIO/Avant-Prog,United Kingdom
DISPOSITIVOPERILANCIOBLIQUODIUNASFERETTA,Post Rock/Math rock,Italy
DISSONA,Progressive Metal,United States
DISSONATI,Crossover Prog,United States
DISTANT DREAM,Neo-Prog,United States
DISTANT LIGHTS,Crossover Prog,United States
DISTILLERIE DI MALTO,Rock Progressivo Italiano,Italy
DISTINGUISHED PANEL OF EXPERTS,Eclectic Prog,Multi-National
DISTORTED HARMONY,Progressive Metal,Israel
DISTRICT 97,Crossover Prog,United States
DIVAE,Rock Progressivo Italiano,Italy
DIVINA ENEMA,Experimental/Post Metal,Belarus
TH IVINE BAZE ORCHESTRA,Heavy Prog,Sweden
DIVINE IN SIGHT,Heavy Prog,United States
DIVINE REGALE,Progressive Metal,United States
DIVINE RUINS,Progressive Metal,United States
DIVINITY,Tech/Extreme Prog Metal,Canada
DIVINITY DESTROYED,Progressive Metal,United States
DIVISION BY ZERO,Progressive Metal,Poland
DIVJE JEZERO,Jazz Rock/Fusion,Slovenia
DIXIE DREGS,Jazz Rock/Fusion,United States
DIZZY MYSTICS,Eclectic Prog,Canada
DIZZYLUNA,RIO/Avant-Prog,United States
DJABE,Jazz Rock/Fusion,Hungary
DJAM KARET,Eclectic Prog,United States
DJAMRA,Jazz Rock/Fusion,Japan
SERGE JOKANOV,Progressive Electronic,Bulgaria
DLGZ ROCK 5TET,Crossover Prog,France
DO MAKE SAY THINK,Post Rock/Math rock,Canada
JULIU OBOS,Eclectic Prog,Hungary
DOC'S FERMENT,Crossover Prog,United States
DOCKER'S GUILD,Neo-Prog,Italy
DOCMEC,Symphonic Prog,Switzerland
DOCTOR NERVE,RIO/Avant-Prog,United States
DODECAHEDRON,Tech/Extreme Prog Metal,Netherlands
DŘDHEIMSGARD,Tech/Extreme Prog Metal,Norway
DODSON AND FOGG,Prog Folk,United Kingdom
DŘDSVERK,Experimental/Post Metal,Norway
DOGG MANSION,Jazz Rock/Fusion,United States
DOGMA,Symphonic Prog,Brazil
DOKTOR SPIRA I LJUDSKA BICA,Crossover Prog,Yugoslavia
DOL AMMAD,Progressive Metal,Greece
DOL THEETA,Progressive Metal,Greece
DOLDRUM,Experimental/Post Metal,United States
DOLOROSA,Krautrock,France
DOLPHY KICK BEBOP,Krautrock,China
DOM,Krautrock,Multi-National
DOMAIN OF DREAMS,Progressive Metal,Bulgaria
DOMBOSHAWA,Psychedelic/Space Rock,Sweden
DOMINICI,Progressive Metal,United States
DOMO,Psychedelic/Space Rock,Spain
DON CABALLERO,Post Rock/Math rock,United States
DON GATO,Jazz Rock/Fusion,Peru
DON SALSA,RIO/Avant-Prog,United States
DON'T LOOK BACK,Post Rock/Math rock,France
DON'T MESS WITH TEXAS,Post Rock/Math rock,Croatia
VIRGI ONATI,Jazz Rock/Fusion,Australia
TRO ONOCKLEY,Neo-Prog,United Kingdom
DOOM,Experimental/Post Metal,Japan
E OOM & THE BORN ELECTRIC,Heavy Prog,Norway
TH OORS,Proto-Prog,United States
DOPING HORNETS,Crossover Prog,Canada
TH OPPELGÄNGERS,Psychedelic/Space Rock,United States
DORA THE DESTROYER,Progressive Metal,United States
DORACOR,Symphonic Prog,Italy
DORDEDUH,Tech/Extreme Prog Metal,Romania
DORENA,Post Rock/Math rock,Sweden
DORIAN GRAY,Krautrock,Germany
DORIAN OPERA,Progressive Metal,Germany
DORNENREICH,Experimental/Post Metal,Austria
TYLO ORY TRIO,Progressive Metal,Canada
L OTTRINA DEGLI OPPOSTI,Rock Progressivo Italiano,Italy
DOTZAUER,Experimental/Post Metal,Italy
DOUBT,Jazz Rock/Fusion,United Kingdom
DOWN I GO,Tech/Extreme Prog Metal,United Kingdom
BO OWNES' OPEN MUSIC,Jazz Rock/Fusion,United Kingdom
GEOFFRE OWNES,Crossover Prog,United Kingdom
DOWNLOUDERS,Psychedelic/Space Rock,Italy
DOWNRIVER DEAD MEN GO,Crossover Prog,Netherlands
DOXOPHOBIA,Tech/Extreme Prog Metal,United Kingdom
DR FOLAMOUR,Crossover Prog,France
DR HASBEEN,Psychedelic/Space Rock,United Kingdom
DR. COENOBITE,Symphonic Prog,Netherlands
DR. DOPO JAM,Jazz Rock/Fusion,Denmark
DR. NO,Neo-Prog,Spain
DR. PHILTER BANX,Progressive Electronic,Canada
DR. SLAGGLEBERRY,Experimental/Post Metal,United Kingdom
DR. SPACE'S ALIEN PLANET TRIP,Progressive Electronic,Denmark
DR. STRANGELY STRANGE,Prog Folk,Ireland
DR. TOTEM,Psychedelic/Space Rock,Mexico
DR. Z,Heavy Prog,United Kingdom
RIENT RAAISMA,Jazz Rock/Fusion,Netherlands
DRACMA,Neo-Prog,Spain
DRAGON,Heavy Prog,Belgium
DRAGON,Prog Related,New Zealand
DRAGONFLY,Symphonic Prog,Switzerland
DRAGONTEARS,Psychedelic/Space Rock,Denmark
DRAGONWYCK,Psychedelic/Space Rock,United States
MLADE RAGOVIC,Jazz Rock/Fusion,Serbia
DRAHK VON TRIP,Psychedelic/Space Rock,Sweden
DRAHKTAR,Progressive Metal,Brazil
BO RAKE,RIO/Avant-Prog,United States
WILLIAM D RAKE,Eclectic Prog,United Kingdom
DRAMA,Jazz Rock/Fusion,United States
DRAMA,Symphonic Prog,France
DRAMA,Neo-Prog,Uruguay
DRAW THE SKY,Jazz Rock/Fusion,France
DRAWN,Experimental/Post Metal,Norway
DREADNAUGHT,Eclectic Prog,United States
DREADNOUGHT,Eclectic Prog,United States
DREADNOUGHT IN THE POND,Experimental/Post Metal,Ukraine
DREAM ARIA,Neo-Prog,Canada
DREAM MACHINE,Psychedelic/Space Rock,United Kingdom
DREAM THE ELECTRIC SLEEP,Crossover Prog,United States
DREAM THEATER,Progressive Metal,United States
DREAMGRAVE,Tech/Extreme Prog Metal,Hungary
DREAMING MADMEN,Crossover Prog,United States
TH REAMING TREE,Crossover Prog,United Kingdom
DREAMLAND,Prog Related,United States
DREAMLORE,Progressive Metal,United States
DREAMLOST,Progressive Metal,France
DREAMS,Jazz Rock/Fusion,United States
DREAMS OF SANITY,Progressive Metal,Austria
DREAMSCAPE,Progressive Metal,Germany
DREAMWORLD,Krautrock,Germany
DREARE,Experimental/Post Metal,Czech Republic
DREARINESS,Experimental/Post Metal,Italy
DREDG,Crossover Prog,United States
DRESDA,Post Rock/Math rock,Italy
HEINRIC RESSEL,Progressive Electronic,Italy
DREYELANDS,Progressive Metal,Hungary
DRIFT,Eclectic Prog,United States
DRIFTGLASS,Progressive Metal,Canada
DRIFTIN'LINE,Progressive Metal,Italy
DRIFTING SUN,Neo-Prog,Multi-National
DRIVEBY,Heavy Prog,Austria
TOB RIVER,RIO/Avant-Prog,United States
DRIVING SLOW MOTION,Post Rock/Math rock,United States
DROBAN-APHERNA,Jazz Rock/Fusion,Portugal
DROKK,Progressive Electronic,United Kingdom
DROP ELECTRIC,Post Rock/Math rock,United States
DROPSHARD,Progressive Metal,Italy
DROSSELBART,Krautrock,Germany
DROTTNAR,Tech/Extreme Prog Metal,Norway
GLE ROVER,Progressive Metal,Canada
DROWNING STEPS,Crossover Prog,Brazil
DRUCKFARBEN,Symphonic Prog,Canada
DRUDKH,Tech/Extreme Prog Metal,Ukraine
DRUGI NAčIN,Heavy Prog,Yugoslavia
DRUID,Symphonic Prog,United Kingdom
DRUM CIRCUS,Krautrock,Switzerland
DRUNKEN GUNMEN,Psychedelic/Space Rock,Australia
TH RX,RIO/Avant-Prog,United States
DRY RIVER,Crossover Prog,Spain
DRYAD'S TREE,Tech/Extreme Prog Metal,Germany
DSCHINN,Krautrock,Germany
DSR LINES,Progressive Electronic,Belgium
MAR UBERRY,Crossover Prog,Ireland
DUELLO MADRE,Jazz Rock/Fusion,Italy
DUEMILA12,Rock Progressivo Italiano,Italy
PASCA UFFARD,RIO/Avant-Prog,France
JOE UGRENOT,Jazz Rock/Fusion,France
GEORG UKE,Jazz Rock/Fusion,United States
DULCIMER,Prog Folk,United Kingdom
DULL KNIFE,Krautrock,Germany
JONATAN PIŃ ULUC,RIO/Avant-Prog,Dominican Republic
DUMB WAITER,RIO/Avant-Prog,United States
DÜN,Zeuhl,France
DUN AENGHUS,Prog Folk,Multi-National
DUNAJ,RIO/Avant-Prog,Czech Republic
LE UNES,Post Rock/Math rock,Norway
ALE UNFORD,Post Rock/Math rock,United Kingdom
DUNGEN,Psychedelic/Space Rock,Sweden
TREVO UNN,RIO/Avant-Prog,United States
FRANCI UNNERY,Crossover Prog,United Kingdom
DW UNPHY,Crossover Prog,United States
DUNST,Psychedelic/Space Rock,Germany
DUNWICH,Prog Folk,Italy
DUOBETIC HOMUNKULUS,Tech/Extreme Prog Metal,Czech Republic
DURE-MČRE,RIO/Avant-Prog,France
DUREFORSOG,RIO/Avant-Prog,Denmark
WOLFGAN ÜREN,Progressive Electronic,Germany
DÜD ÜRST,Krautrock,Switzerland
TH UST CONNECTION,Progressive Metal,Netherlands
DUST MOUNTAIN,Prog Folk,Finland
DUST SCULPTURES,Heavy Prog,United States
DUSTER,Neo-Prog,United States
TH USTMAN DILEMMA,RIO/Avant-Prog,France
DUTCH UNCLES,Crossover Prog,United Kingdom
DVNE,Progressive Metal,United Kingdom
JUD YBLE,Prog Folk,United Kingdom
DYED IN GREY,Progressive Metal,United States
DYING GROUND,RIO/Avant-Prog,Multi-National
YING PLANET,Progressive Metal,United States
DYING SUN,Experimental/Post Metal,United States
FRANKI YMON JR.,Krautrock,Germany
DYNAHEAD,Progressive Metal,Brazil
DYNAMIC LIGHTS,Progressive Metal,Italy
DYNAMO BLISS,Crossover Prog,Sweden
DYNAMO SNACKBAR,Progressive Electronic,United Kingdom
DYONISOS,Crossover Prog,United States
DYSRHYTHMIA,Tech/Extreme Prog Metal,United States
DYSSIDIA,Tech/Extreme Prog Metal,Australia
DZAMBLE,Jazz Rock/Fusion,Poland
DZEJBI,Crossover Prog,Yugoslavia
DZYAN,Krautrock,Germany
